run_time,spot,expiration,strike,bid,ask,last,volume,open_interest,iv,delta,gamma,theta,vega
2026-07-16 13:45:23,708.53,2026-07-16,694.0,14.52,16.26,,,,0.6895,0.8721,0.01603,-0.86,0.0396
2026-07-16 13:45:23,708.53,2026-07-16,695.0,13.45,14.5,21.88,37,110,0.5402,0.9109,0.01577,-0.445,0.0305
2026-07-16 13:45:23,708.53,2026-07-16,696.0,12.7,13.36,,,,0.5269,0.8993,0.0177,-0.5,0.0334
2026-07-16 13:45:23,708.53,2026-07-16,697.0,11.67,12.21,,,,0.4686,0.9066,0.01883,-0.41,0.0316
2026-07-16 13:45:23,708.53,2026-07-16,698.0,10.72,11.19,,,,0.4427,0.8989,0.02112,-0.425,0.0335
2026-07-16 13:45:23,708.53,2026-07-16,699.0,9.79,10.22,,,,0.4256,0.885,0.02411,-0.475,0.0367
2026-07-16 13:45:23,708.53,2026-07-16,700.0,8.92,9.36,18.25,5,214,0.4267,0.8581,0.02784,-0.61,0.0425
2026-07-16 13:45:23,708.53,2026-07-16,701.0,8.31,8.38,,,,0.436,0.8228,0.0315,-0.815,0.0491
2026-07-16 13:45:23,708.53,2026-07-16,702.0,7.48,7.51,7.42,6,,0.4274,0.7938,0.03526,-0.965,0.0539
2026-07-16 13:45:23,708.53,2026-07-16,703.0,6.63,6.77,,,,0.4235,0.7585,0.03894,-1.17,0.059
2026-07-16 13:45:23,708.53,2026-07-16,704.0,5.69,5.74,,,,0.3837,0.737,0.04495,-1.185,0.0617
2026-07-16 13:45:23,708.53,2026-07-16,705.0,5.14,5.19,5.05,1,335,0.4075,0.6799,0.0464,-1.635,0.0677
2026-07-16 13:45:23,708.53,2026-07-16,706.0,4.34,4.38,,,,0.386,0.6388,0.05129,-1.83,0.0708
2026-07-16 13:45:23,708.53,2026-07-16,707.0,3.67,3.68,,,,0.3757,0.5885,0.05476,-2.145,0.0736
2026-07-16 13:45:23,708.53,2026-07-16,708.0,3.1,3.11,,,,0.3739,0.5331,0.05621,-2.575,0.0752
2026-07-16 13:45:23,708.53,2026-07-16,709.0,2.57,2.65,,,,0.3747,0.4768,0.05619,-2.61,0.0753
2026-07-16 13:45:23,708.53,2026-07-16,710.0,2.14,2.16,2.08,68,734,0.3727,0.4206,0.05547,-2.15,0.074
2026-07-16 13:45:23,708.53,2026-07-16,711.0,1.65,1.69,1.7,22,,0.3599,0.3616,0.05504,-1.67,0.0709
2026-07-16 13:45:23,708.53,2026-07-16,712.0,1.35,1.36,1.32,418,,0.3623,0.3096,0.05144,-1.355,0.0667
2026-07-16 13:45:23,708.53,2026-07-16,713.0,1.01,1.06,1.06,1294,,0.356,0.2567,0.04784,-1.035,0.0609
2026-07-16 13:45:23,708.53,2026-07-16,714.0,0.76,0.78,0.78,673,,0.3497,0.2073,0.04324,-0.77,0.0541
2026-07-16 13:45:23,708.53,2026-07-16,715.0,0.61,0.62,0.62,1001,1298,0.3559,0.1714,0.03778,-0.615,0.0481
2026-07-16 13:45:23,708.53,2026-07-16,716.0,0.42,0.47,0.46,821,,0.3513,0.1334,0.03241,-0.445,0.0407
2026-07-16 13:45:23,708.53,2026-07-16,717.0,0.3,0.31,0.35,414,,0.3443,0.0994,0.02683,-0.305,0.0331
2026-07-16 13:45:23,708.53,2026-07-16,718.0,0.25,0.26,0.26,391,,0.357,0.083,0.02264,-0.255,0.0289
2026-07-16 13:45:23,708.53,2026-07-16,719.0,0.14,0.19,0.19,299,,0.3488,0.0585,0.01771,-0.165,0.0221
2026-07-16 13:45:23,708.53,2026-07-16,720.0,0.09,0.14,0.14,1810,2373,0.3485,0.0429,0.01384,-0.115,0.0173
2026-07-16 13:45:23,708.53,2026-07-16,721.0,0.06,0.11,0.11,262,,0.3529,0.0326,0.01092,-0.085,0.0138
2026-07-16 13:45:23,708.53,2026-07-16,722.0,0.07,0.08,0.08,72,,0.3681,0.0282,0.00927,-0.075,0.0122
2026-07-16 13:45:23,708.53,2026-07-16,723.0,0.02,0.07,0.03,125,,0.3606,0.0182,0.00656,-0.045,0.0085
2026-07-16 13:50:24,707.95,2026-07-16,693.0,14.3,16.2,,,,0.5317,0.9361,0.01253,-0.3,0.0235
2026-07-16 13:50:24,707.95,2026-07-16,694.0,13.56,15.21,,,,0.5537,0.9139,0.01512,-0.435,0.0295
2026-07-16 13:50:24,707.95,2026-07-16,695.0,12.45,13.17,13,6,110,,,,,
