run_time,spot,expiration,strike,bid,ask,last,volume,open_interest,iv,delta,gamma,theta,vega
2026-07-21 19:15:20,708.9,2026-07-21,702.0,6.8,7.09,6.89,11564,852,0.5639,0.9703,0.01832,-0.045,0.0044
2026-07-21 19:15:20,708.9,2026-07-21,703.0,5.97,6.09,5.88,26372,291,0.6187,0.9291,0.03355,-0.13,0.0089
2026-07-21 19:15:20,708.9,2026-07-21,704.0,4.82,5.04,4.95,55029,619,0.3936,0.9722,0.02482,-0.03,0.0042
2026-07-21 19:15:20,708.9,2026-07-21,705.0,3.93,4.059,4.04,135124,1195,0.4169,0.9248,0.05205,-0.0945,0.0093
2026-07-21 19:15:20,708.9,2026-07-21,706.0,2.97,3.05,2.77,149801,473,0.3475,0.9002,0.07719,-0.11,0.0115
2026-07-21 19:15:20,708.9,2026-07-21,707.0,1.96,2.009,2.05,175365,523,0.2373,0.8906,0.12079,-0.0845,0.0122
2026-07-21 19:15:20,708.9,2026-07-21,708.0,1.13,1.16,1.16,214907,1083,0.2251,0.7307,0.22446,-0.245,0.0216
2026-07-21 19:15:20,708.9,2026-07-21,709.0,0.49,0.54,0.5,326063,614,0.2157,0.4728,0.28237,-0.515,0.026
2026-07-21 19:15:20,708.9,2026-07-21,710.0,0.18,0.19,0.19,425835,2101,0.2202,0.2233,0.20753,-0.185,0.0195
2026-07-21 19:15:20,708.9,2026-07-21,711.0,0.06,0.07,0.07,166144,489,0.2388,0.0899,0.10403,-0.065,0.0106
2026-07-21 19:15:20,708.9,2026-07-21,712.0,0.01,0.05,0.04,84168,612,0.2726,0.0415,0.04985,-0.03,0.0058
2026-07-21 19:15:20,708.9,2026-07-21,713.0,0.01,0.02,0.03,56306,934,0.3055,0.0204,0.02469,-0.015,0.0032
2026-07-21 19:15:20,708.9,2026-07-21,714.0,0.03,0.04,0.01,45218,665,0.4209,0.0325,0.02646,-0.035,0.0048
2026-07-21 19:15:20,708.9,2026-07-21,715.0,0.03,0.04,0.03,38554,2072,0.4879,0.0286,0.0205,-0.035,0.0043
2026-07-21 19:16:20,708.73,2026-07-21,702.0,6.62,6.87,6.89,11564,852,0.4646,0.988,0.01043,-0.015,0.002
2026-07-21 19:16:20,708.73,2026-07-21,703.0,5.83,5.92,5.88,26372,291,0.6285,0.9223,0.03582,-0.145,0.0094
2026-07-21 19:16:20,708.73,2026-07-21,704.0,4.79,4.86,4.77,55066,619,0.4901,0.9335,0.04078,-0.095,0.0083
2026-07-21 19:16:20,708.73,2026-07-21,705.0,3.79,3.85,3.85,135163,1195,0.4029,0.925,0.05437,-0.09,0.0091
2026-07-21 19:16:20,708.73,2026-07-21,706.0,2.78,2.9,2.84,149860,473,0.3364,0.8964,0.08286,-0.11,0.0116
2026-07-21 19:16:20,708.73,2026-07-21,707.0,1.81,1.89,1.94,175438,523,0.2507,0.8582,0.13863,-0.12,0.0145
2026-07-21 19:16:20,708.73,2026-07-21,708.0,1.07,1.08,1.08,215060,1083,0.2499,0.6755,0.22286,-0.345,0.0232
2026-07-21 19:16:20,708.73,2026-07-21,709.0,0.41,0.46,0.46,327299,614,0.2167,0.4246,0.27989,-0.435,0.0253
2026-07-21 19:16:20,708.73,2026-07-21,710.0,0.11,0.12,0.12,427837,2101,0.202,0.1661,0.19108,-0.115,0.0161
2026-07-21 19:16:20,708.73,2026-07-21,711.0,0.06,0.07,0.07,166662,489,0.256,0.0857,0.09467,-0.065,0.0101
2026-07-21 19:16:20,708.73,2026-07-21,712.0,0.01,0.02,0.03,84409,612,0.2555,0.0242,0.03444,-0.015,0.0037
2026-07-21 19:16:20,708.73,2026-07-21,713.0,0.03,0.04,0.03,56508,934,0.3682,0.0369,0.03396,-0.035,0.0052
2026-07-21 19:16:20,708.73,2026-07-21,714.0,0.03,0.04,0.01,45329,665,0.4375,0.0318,0.02525,-0.035,0.0046
2026-07-21 19:16:20,708.73,2026-07-21,715.0,0.03,0.04,0.01,38579,2072,0.505,0.028,0.01971,-0.035,0.0042
