run_time,spot,expiration,strike,bid,ask,last,volume,open_interest,iv,delta,gamma,theta,vega
2026-09-11 19:15:17,715.71,2026-09-11,709.0,6.59,6.66,6.67,2584,552,,,,,
2026-09-11 19:15:17,715.71,2026-09-11,710.0,5.64,5.86,5.8,8360,3415,0.4666,0.9689,0.02279,-0.04,0.0046
2026-09-11 19:15:17,715.71,2026-09-11,711.0,4.59,4.76,4.74,5790,913,,,,,
2026-09-11 19:15:17,715.71,2026-09-11,712.0,3.72,3.83,3.65,10943,662,0.3636,0.9397,0.0498,-0.065,0.0079
2026-09-11 19:15:17,715.71,2026-09-11,713.0,2.69,2.78,2.79,28944,1353,0.2304,0.9631,0.05304,-0.025,0.0053
2026-09-11 19:15:17,715.71,2026-09-11,714.0,1.76,1.85,1.84,81569,1098,0.2258,0.8752,0.13794,-0.095,0.0136
2026-09-11 19:15:17,715.71,2026-09-11,715.0,0.88,0.93,0.94,237034,6265,0.1764,0.7301,0.28392,-0.195,0.0218
2026-09-11 19:15:17,715.71,2026-09-11,716.0,0.25,0.3,0.31,426641,2350,0.1528,0.3881,0.37987,-0.275,0.0253
2026-09-11 19:15:17,715.71,2026-09-11,717.0,0.03,0.04,0.04,398782,4753,0.1405,0.0828,0.16454,-0.035,0.0101
2026-09-11 19:15:17,715.71,2026-09-11,718.0,0.04,0.05,0.04,219019,6168,0.231,0.0672,0.08537,-0.045,0.0086
2026-09-11 19:15:17,715.71,2026-09-11,719.0,0.01,0.02,0.02,102332,2641,0.2513,0.0241,0.03413,-0.015,0.0037
2026-09-11 19:15:17,715.71,2026-09-11,720.0,0.03,0.04,0.01,91419,8403,0.3616,0.0368,0.03374,-0.035,0.0053
2026-09-11 19:15:17,715.71,2026-09-11,721.0,0.01,0.02,0.02,34079,3972,0.3755,0.0169,0.01688,-0.015,0.0028
2026-09-11 19:15:17,715.71,2026-09-11,722.0,0.03,0.04,0.03,20479,3992,0.4954,0.0279,0.01962,-0.035,0.0042
2026-09-11 19:16:18,715.59,2026-09-11,709.0,6.49,6.66,6.67,2584,552,,,,,
2026-09-11 19:16:18,715.59,2026-09-11,710.0,5.6,5.72,5.81,8362,3415,0.5178,0.952,0.02956,-0.07,0.0065
2026-09-11 19:16:18,715.59,2026-09-11,711.0,4.52,4.68,4.78,5850,913,0.3078,0.9891,0.01425,-0.01,0.0019
2026-09-11 19:16:18,715.59,2026-09-11,712.0,3.61,3.72,3.65,10944,662,0.3707,0.932,0.05429,-0.075,0.0086
2026-09-11 19:16:18,715.59,2026-09-11,713.0,2.61,2.72,2.8,28947,1353,0.289,0.9161,0.08177,-0.075,0.0101
2026-09-11 19:16:18,715.59,2026-09-11,714.0,1.67,1.74,1.7,81581,1098,0.2312,0.855,0.15112,-0.115,0.0149
2026-09-11 19:16:18,715.59,2026-09-11,715.0,0.83,0.84,0.84,237356,6265,0.1852,0.6884,0.2926,-0.245,0.0231
2026-09-11 19:16:18,715.59,2026-09-11,716.0,0.26,0.27,0.23,427279,2350,0.1686,0.3559,0.33874,-0.265,0.0243
2026-09-11 19:16:18,715.59,2026-09-11,717.0,0.07,0.08,0.08,399047,4753,0.1867,0.1243,0.16838,-0.075,0.0134
2026-09-11 19:16:18,715.59,2026-09-11,718.0,0.04,0.05,0.04,219174,6168,0.2432,0.065,0.07995,-0.045,0.0083
2026-09-11 19:16:18,715.59,2026-09-11,719.0,0.01,0.04,0.03,102356,2641,0.2855,0.0341,0.04059,-0.025,0.0049
2026-09-11 19:16:18,715.59,2026-09-11,720.0,0.03,0.04,0.03,92469,8403,0.3743,0.0361,0.03246,-0.035,0.0052
2026-09-11 19:16:18,715.59,2026-09-11,721.0,0.03,0.04,0.02,34079,3972,0.4426,0.0312,0.02433,-0.035,0.0046
2026-09-11 19:16:18,715.59,2026-09-11,722.0,0.01,0.02,0.03,20479,3992,0.4477,0.0146,0.01263,-0.015,0.0024
2026-09-11 19:17:20,715.6,2026-09-11,709.0,6.67,6.89,6.67,2584,552,0.7443,0.9169,0.03188,-0.185,0.0099
2026-09-11 19:17:20,715.6,2026-09-11,710.0,5.69,5.85,5.83,8364,3415,0.6485,0.911,0.03852,-0.175,0.0104
2026-09-11 19:17:20,715.6,2026-09-11,711.0,4.63,4.74,4.83,5910,913,0.4741,0.9346,0.04168,-0.09,0.0082
2026-09-11 19:17:20,715.6,2026-09-11,712.0,3.69,3.71,3.75,10944,662,0.408,0.9151,0.0591,-0.105,0.01
2026-09-11 19:17:20,715.6,2026-09-11,713.0,2.6,2.74,2.67,28951,1353,0.2929,0.9161,0.08159,-0.075,0.0099
2026-09-11 19:17:20,715.6,2026-09-11,714.0,1.72,1.77,1.82,81614,1098,0.2571,0.8329,0.15094,-0.15,0.0161
2026-09-11 19:17:20,715.6,2026-09-11,715.0,0.85,0.91,0.92,238158,6265,0.2055,0.6744,0.27184,-0.285,0.0232
2026-09-11 19:17:20,715.6,2026-09-11,716.0,0.24,0.26,0.26,428716,2350,0.1636,0.3517,0.35172,-0.25,0.0239
2026-09-11 19:17:20,715.6,2026-09-11,717.0,0.03,0.04,0.04,399945,4753,0.1534,0.0784,0.14803,-0.035,0.0094
2026-09-11 19:17:20,715.6,2026-09-11,718.0,0.01,0.02,0.02,219312,6168,0.1982,0.0303,0.05369,-0.015,0.0044
2026-09-11 19:17:20,715.6,2026-09-11,719.0,0.03,0.04,0.02,102368,2641,0.307,0.0433,0.04644,-0.035,0.0059
2026-09-11 19:17:20,715.6,2026-09-11,720.0,0.03,0.04,0.03,92940,8403,0.3784,0.0361,0.03251,-0.035,0.0051
2026-09-11 19:17:20,715.6,2026-09-11,721.0,0.03,0.04,0.01,34101,3972,0.4475,0.0312,0.02436,-0.035,0.0045
2026-09-11 19:17:20,715.6,2026-09-11,722.0,0.03,0.04,0.03,20486,3992,0.5149,0.0276,0.01911,-0.035,0.0041
2026-09-11 19:18:21,715.75,2026-09-11,709.0,6.62,6.9,6.67,2584,552,0.4432,0.9919,0.00784,-0.01,0.0014
2026-09-11 19:18:21,715.75,2026-09-11,710.0,5.8,5.82,5.85,8366,3415,0.5259,0.9578,0.02684,-0.06,0.0057
2026-09-11 19:18:21,715.75,2026-09-11,711.0,4.73,4.87,4.81,5911,913,0.4342,0.9578,0.03254,-0.05,0.0057
2026-09-11 19:18:21,715.75,2026-09-11,712.0,3.7,3.89,3.75,10944,662,0.351,0.9539,0.04321,-0.045,0.0062
2026-09-11 19:18:21,715.75,2026-09-11,713.0,2.7,2.83,2.78,28960,1353,0.219,0.976,0.04044,-0.015,0.0036
2026-09-11 19:18:21,715.75,2026-09-11,714.0,1.79,1.8,1.85,81657,1098,0.1932,0.9232,0.11717,-0.045,0.0092
2026-09-11 19:18:21,715.75,2026-09-11,715.0,0.88,0.94,0.94,238580,6265,0.1708,0.7557,0.28843,-0.16,0.02
2026-09-11 19:18:21,715.75,2026-09-11,716.0,0.25,0.3,0.26,429853,2350,0.1519,0.3993,0.39897,-0.275,0.0246
2026-09-11 19:18:21,715.75,2026-09-11,717.0,0.03,0.08,0.08,400274,4753,0.1603,0.1113,0.18565,-0.055,0.0121
2026-09-11 19:18:21,715.75,2026-09-11,718.0,0.04,0.05,0.04,219362,6168,0.2361,0.068,0.08731,-0.045,0.0084
2026-09-11 19:18:21,715.75,2026-09-11,719.0,0.01,0.04,0.03,102398,2641,0.281,0.0353,0.04343,-0.025,0.005
2026-09-11 19:18:21,715.75,2026-09-11,720.0,0.03,0.04,0.01,92999,8403,0.3719,0.0371,0.03418,-0.035,0.0052
2026-09-11 19:18:21,715.75,2026-09-11,721.0,0.01,0.02,0.02,34120,3972,0.3866,0.0169,0.01707,-0.015,0.0027
2026-09-11 19:18:21,715.75,2026-09-11,722.0,0.01,0.04,0.03,20507,3992,0.4837,0.0219,0.01695,-0.025,0.0033
2026-09-11 19:19:22,715.81,2026-09-11,709.0,6.7,6.8,6.67,2584,552,,,,,
2026-09-11 19:19:22,715.81,2026-09-11,710.0,5.88,6.01,5.88,8366,3415,0.6409,0.9265,0.03458,-0.135,0.0088
