run_time,spot,expiration,strike,bid,ask,last,volume,open_interest,iv,delta,gamma,theta,vega
2026-09-24 19:15:24,740.48,2026-09-24,734.0,0.03,0.04,0.03,218424,425,0.4959,-0.0271,0.01846,-0.035,0.0043
2026-09-24 19:15:24,740.48,2026-09-24,735.0,0.01,0.02,0.04,377349,1906,0.3774,-0.0163,0.01577,-0.015,0.0028
2026-09-24 19:15:24,740.48,2026-09-24,736.0,0.05,0.06,0.03,358532,561,0.3976,-0.0487,0.03722,-0.055,0.0069
2026-09-24 19:15:24,740.48,2026-09-24,737.0,0.04,0.05,0.04,246207,1035,0.3119,-0.0505,0.04886,-0.045,0.0071
2026-09-24 19:15:24,740.48,2026-09-24,738.0,0.11,0.12,0.11,205039,884,0.3026,-0.1143,0.09365,-0.115,0.0132
2026-09-24 19:15:24,740.48,2026-09-24,739.0,0.25,0.26,0.25,220629,663,0.2875,-0.2249,0.15292,-0.255,0.0205
2026-09-24 19:15:24,740.48,2026-09-24,740.0,0.59,0.6,0.59,213021,1984,0.2984,-0.4066,0.19065,-0.595,0.0265
2026-09-24 19:15:24,740.48,2026-09-24,741.0,1.07,1.09,1.07,125343,926,0.2908,-0.6033,0.19435,-0.555,0.0263
2026-09-24 19:15:24,740.48,2026-09-24,742.0,1.79,1.88,1.79,60854,1286,0.3195,-0.7569,0.14366,-0.31,0.0213
2026-09-24 19:15:24,740.48,2026-09-24,743.0,2.65,2.73,2.65,16461,824,0.3425,-0.8591,0.09569,-0.165,0.0152
2026-09-24 19:15:24,740.48,2026-09-24,744.0,3.57,3.8,3.51,5473,1174,0.4279,-0.8854,0.06637,-0.16,0.0132
2026-09-24 19:15:24,740.48,2026-09-24,745.0,4.52,4.68,4.53,3227,1383,0.4283,-0.9384,0.04163,-0.075,0.0083
2026-09-24 19:15:24,740.48,2026-09-24,746.0,5.57,5.8,5.59,1055,1041,0.5933,-0.9126,0.03927,-0.16,0.0108
2026-09-24 19:15:24,740.48,2026-09-24,747.0,6.42,6.63,6.61,542,867,0.3549,-0.9963,0.00453,-0.0,0.0007
2026-09-24 19:16:25,740.5,2026-09-24,734.0,0.03,0.04,0.03,218627,425,0.5033,-0.027,0.01836,-0.035,0.0042
2026-09-24 19:16:25,740.5,2026-09-24,735.0,0.01,0.05,0.02,378579,1906,0.4265,-0.0273,0.02185,-0.03,0.0042
2026-09-24 19:16:25,740.5,2026-09-24,736.0,0.01,0.06,0.02,358672,561,0.3708,-0.0353,0.03111,-0.035,0.0052
2026-09-24 19:16:25,740.5,2026-09-24,737.0,0.07,0.08,0.07,246268,1035,0.3545,-0.0707,0.05662,-0.075,0.0091
2026-09-24 19:16:25,740.5,2026-09-24,738.0,0.12,0.13,0.12,206649,884,0.3159,-0.1193,0.09354,-0.125,0.0134
2026-09-24 19:16:25,740.5,2026-09-24,739.0,0.18,0.23,0.19,223010,663,0.2681,-0.2023,0.15596,-0.205,0.019
2026-09-24 19:16:25,740.5,2026-09-24,740.0,0.46,0.47,0.47,214534,1984,0.2556,-0.3848,0.22177,-0.465,0.0258
2026-09-24 19:16:25,740.5,2026-09-24,741.0,0.92,0.93,0.92,127900,926,0.2401,-0.6202,0.23515,-0.425,0.0257
2026-09-24 19:16:25,740.5,2026-09-24,742.0,1.51,1.57,1.61,62127,1286,0.1618,-0.9147,0.14298,-0.04,0.0105
2026-09-24 19:16:25,740.5,2026-09-24,743.0,2.39,2.42,2.48,16550,824,,,,,
2026-09-24 19:16:25,740.5,2026-09-24,744.0,3.39,3.5,3.34,5497,1174,,,,,
2026-09-24 19:16:25,740.5,2026-09-24,745.0,4.27,4.52,4.41,3233,1383,,,,,
2026-09-24 19:16:25,740.5,2026-09-24,746.0,5.25,5.59,5.4,1056,1041,,,,,
2026-09-24 19:16:25,740.5,2026-09-24,747.0,6.39,6.4,6.61,543,867,,,,,
2026-09-24 19:17:27,741.02,2026-09-24,735.0,0.03,0.04,0.04,378603,1906,0.4773,-0.0286,0.02052,-0.035,0.0044
2026-09-24 19:17:27,741.02,2026-09-24,736.0,0.01,0.05,0.04,358757,561,0.3996,-0.0292,0.02494,-0.03,0.0044
2026-09-24 19:17:27,741.02,2026-09-24,737.0,0.05,0.06,0.06,246312,1035,0.3734,-0.0524,0.04301,-0.055,0.0071
2026-09-24 19:17:27,741.02,2026-09-24,738.0,0.05,0.06,0.06,206848,884,0.2981,-0.0636,0.06271,-0.055,0.0083
2026-09-24 19:17:27,741.02,2026-09-24,739.0,0.12,0.13,0.13,223595,663,0.2754,-0.1347,0.11808,-0.125,0.0145
